,userID,date,wakeUpTime
0,P0701,2019-05-08,10:16:11.039000
1,P0701,2019-05-09,10:14:09.515000
2,P0701,2019-05-10,09:01:22.629000
3,P0701,2019-05-11,16:14:38.454000
4,P0701,2019-05-12,12:30:47.151000
5,P0701,2019-05-13,10:12:41.202000
6,P0701,2019-05-14,09:49:48.065000
7,P0702,2019-05-08,10:27:49.317000
8,P0702,2019-05-09,10:15:38.362000
9,P0702,2019-05-10,09:25:48.039000
10,P0702,2019-05-11,12:44:07.900000
11,P0702,2019-05-12,12:51:08.262000
12,P0702,2019-05-13,08:12:16.509000
13,P0702,2019-05-14,10:39:12.991000
14,P0703,2019-05-08,09:05:32.123000
15,P0703,2019-05-09,08:00:53.944000
16,P0703,2019-05-10,08:10:56.180000
17,P0703,2019-05-11,07:39:50.933000
18,P0703,2019-05-12,08:51:46.696000
19,P0703,2019-05-13,09:47:45.070000
20,P0703,2019-05-14,11:52:14.044000
21,P0703,2019-05-15,08:04:14.787000
