,userID,date,CaloriesToday
0,P0701,2019-05-08,1299
1,P0701,2019-05-09,1381
2,P0701,2019-05-10,1772
3,P0701,2019-05-11,1618
4,P0701,2019-05-12,1771
5,P0701,2019-05-13,1560
6,P0701,2019-05-14,1698
7,P0702,2019-05-08,1326
8,P0702,2019-05-09,1456
9,P0702,2019-05-10,1375
10,P0702,2019-05-11,1380
11,P0702,2019-05-12,1599
12,P0702,2019-05-13,1319
13,P0702,2019-05-14,1418
14,P0703,2019-05-08,1491
15,P0703,2019-05-09,1492
16,P0703,2019-05-10,1270
17,P0703,2019-05-11,1148
18,P0703,2019-05-12,1133
19,P0703,2019-05-13,907
20,P0703,2019-05-14,474
21,P0704,2019-05-08,1808
22,P0704,2019-05-09,1950
23,P0704,2019-05-10,1951
24,P0704,2019-05-11,1639
25,P0704,2019-05-12,1698
26,P0704,2019-05-13,1650
27,P0704,2019-05-14,1520
28,P0705,2019-05-08,1693
29,P0705,2019-05-09,1703
30,P0705,2019-05-10,1730
31,P0705,2019-05-11,1853
32,P0705,2019-05-12,1714
33,P0705,2019-05-13,1779
34,P0705,2019-05-14,1235
35,P0706,2019-05-08,1871
36,P0706,2019-05-09,1932
37,P0706,2019-05-10,1933
38,P0706,2019-05-12,1975
39,P0706,2019-05-13,1976
40,P0706,2019-05-14,1277
41,P0707,2019-05-08,1458
42,P0707,2019-05-09,1513
43,P0707,2019-05-10,1702
44,P0707,2019-05-11,1704
45,P0707,2019-05-12,1241
46,P0707,2019-05-13,1626
47,P0707,2019-05-14,1626
48,P0708,2019-05-08,1129
49,P0708,2019-05-09,1234
50,P0708,2019-05-10,1303
51,P0708,2019-05-11,1749
52,P0708,2019-05-12,1911
53,P0708,2019-05-13,1976
54,P0708,2019-05-14,1244
55,P0709,2019-05-08,1468
56,P0709,2019-05-09,1764
57,P0709,2019-05-10,1766
58,P0709,2019-05-11,1763
59,P0709,2019-05-12,1871
60,P0709,2019-05-13,1872
61,P0709,2019-05-14,1759
62,P0710,2019-05-08,1845
63,P0710,2019-05-09,1795
64,P0710,2019-05-10,1837
65,P0710,2019-05-11,1887
66,P0710,2019-05-12,1906
67,P0710,2019-05-13,1907
68,P0710,2019-05-14,1831
69,P0711,2019-05-08,1665
70,P0711,2019-05-09,1722
71,P0711,2019-05-10,1487
72,P0711,2019-05-11,1887
73,P0711,2019-05-12,1692
74,P0711,2019-05-13,1508
75,P0711,2019-05-14,1838
76,P0712,2019-05-08,2202
77,P0712,2019-05-09,2203
78,P0712,2019-05-10,1354
79,P0712,2019-05-11,1764
80,P0712,2019-05-12,2018
81,P0712,2019-05-13,2019
82,P0712,2019-05-14,1709
83,P0713,2019-05-08,1408
84,P0713,2019-05-09,1258
85,P0713,2019-05-10,1523
86,P0713,2019-05-11,1204
87,P0713,2019-05-12,1343
88,P0713,2019-05-13,1517
89,P0713,2019-05-14,1384
90,P0714,2019-05-08,1796
91,P0714,2019-05-09,1803
92,P0714,2019-05-10,2026
93,P0714,2019-05-11,2026
94,P0714,2019-05-12,1897
95,P0714,2019-05-13,1750
96,P0714,2019-05-14,1927
97,P0715,2019-05-08,2011
98,P0715,2019-05-09,2012
99,P0715,2019-05-10,1698
100,P0715,2019-05-11,2009
101,P0715,2019-05-12,2011
102,P0715,2019-05-13,1904
103,P0715,2019-05-14,2009
104,P0716,2019-05-08,2123
105,P0716,2019-05-09,2146
106,P0716,2019-05-10,2387
107,P0716,2019-05-11,2391
108,P0716,2019-05-12,2176
109,P0716,2019-05-13,2045
110,P0716,2019-05-14,1963
