,userID,date,wakeUpTime
0,P0701,2019-05-08,10:16:11.039000
1,P0701,2019-05-09,10:14:09.515000
2,P0701,2019-05-10,09:01:22.629000
3,P0701,2019-05-11,16:14:38.454000
4,P0701,2019-05-12,12:30:47.151000
5,P0701,2019-05-13,10:12:41.202000
6,P0701,2019-05-14,09:49:48.065000
7,P0702,2019-05-08,10:27:49.317000
8,P0702,2019-05-09,10:15:38.362000
9,P0702,2019-05-10,09:25:48.039000
10,P0702,2019-05-11,12:44:07.900000
11,P0702,2019-05-12,12:51:08.262000
12,P0702,2019-05-13,08:12:16.509000
13,P0702,2019-05-14,10:39:12.991000
14,P0703,2019-05-08,09:05:32.123000
15,P0703,2019-05-09,08:00:53.944000
16,P0703,2019-05-10,08:10:56.180000
17,P0703,2019-05-11,07:39:50.933000
18,P0703,2019-05-12,08:51:46.696000
19,P0703,2019-05-13,09:47:45.070000
20,P0703,2019-05-14,11:52:14.044000
21,P0704,2019-05-08,09:15:22.396000
22,P0704,2019-05-09,07:46:38.194000
23,P0704,2019-05-10,07:53:11.130000
24,P0704,2019-05-11,06:13:34.683000
25,P0704,2019-05-12,09:37:34.031000
26,P0704,2019-05-13,07:50:13.192000
27,P0704,2019-05-14,08:00:18.435000
28,P0705,2019-05-08,09:13:14.731000
29,P0705,2019-05-09,09:00:51.535000
30,P0705,2019-05-10,08:21:56.701000
31,P0705,2019-05-11,09:41:21.434000
32,P0705,2019-05-12,12:10:23.068000
33,P0705,2019-05-13,07:45:45.849000
34,P0705,2019-05-14,09:29:26.392000
35,P0706,2019-05-08,09:01:19.356000
36,P0706,2019-05-09,08:23:36.119000
37,P0706,2019-05-10,10:04:00.667000
38,P0706,2019-05-13,14:29:55.671000
39,P0706,2019-05-14,09:49:24.797000
40,P0707,2019-05-08,11:25:54.957000
41,P0707,2019-05-09,10:25:32.952000
42,P0707,2019-05-10,11:45:33.792000
43,P0707,2019-05-11,08:24:47.091000
44,P0707,2019-05-12,11:36:40.296000
45,P0707,2019-05-13,13:05:16.488000
46,P0707,2019-05-14,14:31:58.013000
47,P0708,2019-05-08,10:14:59.931000
48,P0708,2019-05-09,11:47:33.730000
49,P0708,2019-05-10,12:57:10.191000
50,P0708,2019-05-11,13:35:34.613000
51,P0708,2019-05-12,16:48:56.320000
52,P0708,2019-05-13,10:23:35.315000
53,P0708,2019-05-14,11:49:02.536000
54,P0709,2019-05-08,09:00:06.317000
55,P0709,2019-05-09,11:15:15.828000
56,P0709,2019-05-10,11:53:48.907000
57,P0709,2019-05-11,11:58:05.492000
58,P0709,2019-05-12,12:49:35.643000
59,P0709,2019-05-13,08:46:40.710000
60,P0709,2019-05-14,14:12:58.485000
61,P0710,2019-05-08,10:36:06.514000
62,P0710,2019-05-09,08:32:16.977000
63,P0710,2019-05-10,08:41:14.882000
64,P0710,2019-05-11,09:36:57.710000
65,P0710,2019-05-12,10:54:38.404000
66,P0710,2019-05-13,08:42:25.638000
67,P0710,2019-05-14,08:42:57.940000
68,P0711,2019-05-08,10:39:01.817000
69,P0711,2019-05-09,07:39:28.861000
70,P0711,2019-05-10,08:36:42.986000
71,P0711,2019-05-11,10:23:50.502000
72,P0711,2019-05-12,11:44:11.961000
73,P0711,2019-05-13,09:49:40.790000
74,P0711,2019-05-14,11:33:43.042000
75,P0712,2019-05-08,09:01:25.133000
76,P0712,2019-05-09,10:20:01.461000
77,P0712,2019-05-10,08:13:30.956000
78,P0712,2019-05-11,09:47:20.635000
79,P0712,2019-05-12,09:57:54.723000
80,P0712,2019-05-13,08:50:06.440000
81,P0712,2019-05-14,08:30:31.623000
82,P0713,2019-05-08,09:56:28.229000
83,P0713,2019-05-09,08:56:37.209000
84,P0713,2019-05-10,07:31:11.677000
85,P0713,2019-05-11,08:04:33.652000
86,P0713,2019-05-12,16:19:35.637000
87,P0713,2019-05-13,07:47:58.685000
88,P0713,2019-05-14,08:32:59.324000
89,P0714,2019-05-08,09:00:20.471000
90,P0714,2019-05-09,07:55:39.681000
91,P0714,2019-05-10,12:06:46.335000
92,P0714,2019-05-11,06:02:04.009000
93,P0714,2019-05-12,13:05:12.542000
94,P0714,2019-05-13,09:53:23.098000
95,P0714,2019-05-14,10:57:56.083000
96,P0715,2019-05-08,09:21:09.482000
97,P0715,2019-05-09,07:42:07.194000
98,P0715,2019-05-10,11:30:26.217000
99,P0715,2019-05-11,07:51:49.750000
100,P0715,2019-05-12,11:47:23.537000
101,P0715,2019-05-13,06:15:42.913000
102,P0715,2019-05-14,07:51:08.082000
103,P0716,2019-05-08,09:00:15.072000
104,P0716,2019-05-09,06:31:01.620000
105,P0716,2019-05-10,08:49:16.480000
106,P0716,2019-05-11,10:18:56.108000
107,P0716,2019-05-12,12:01:28.837000
108,P0716,2019-05-13,06:00:44.437000
109,P0716,2019-05-14,08:16:34.988000
110,P1501,2019-05-16,09:42:44.002000
111,P1501,2019-05-17,12:32:55.834000
112,P1501,2019-05-18,10:52:36.348000
113,P1501,2019-05-19,08:23:59.193000
114,P1501,2019-05-20,08:11:45.309000
115,P1501,2019-05-21,07:49:43.943000
116,P1501,2019-05-22,08:58:56.908000
117,P1502,2019-05-16,09:06:28.745000
118,P1502,2019-05-17,07:25:40.579000
119,P1502,2019-05-18,06:06:11.595000
120,P1502,2019-05-19,09:11:55.312000
121,P1502,2019-05-20,07:14:52.933000
122,P1502,2019-05-21,06:23:07.239000
123,P1502,2019-05-22,07:30:37.221000
124,P1503,2019-05-16,12:06:10.405000
125,P1503,2019-05-17,06:00:13.061000
126,P1503,2019-05-18,06:18:46.766000
127,P1503,2019-05-19,10:44:10.982000
128,P1503,2019-05-20,10:01:07.928000
129,P1503,2019-05-21,10:10:58.736000
130,P1503,2019-05-22,10:13:49.608000
131,P1504,2019-05-16,09:18:36.108000
132,P1504,2019-05-17,10:07:01.081000
133,P1504,2019-05-18,08:42:22.487000
134,P1504,2019-05-20,12:11:59.508000
135,P1504,2019-05-21,10:08:15.749000
136,P1504,2019-05-22,08:34:24.058000
137,P1505,2019-05-16,09:51:58.427000
138,P1505,2019-05-17,07:20:19.897000
139,P1505,2019-05-18,14:32:19.641000
140,P1505,2019-05-19,11:06:09.584000
141,P1505,2019-05-20,08:39:37.786000
142,P1505,2019-05-21,10:20:27.338000
143,P1505,2019-05-22,12:34:39.587000
144,P1506,2019-05-16,10:16:54.271000
145,P1506,2019-05-17,10:56:39.030000
146,P1506,2019-05-18,10:22:52.355000
147,P1506,2019-05-19,07:16:22.211000
148,P1506,2019-05-20,11:10:36.389000
149,P1506,2019-05-21,07:40:40.088000
150,P1506,2019-05-22,10:35:05.139000
151,P1507,2019-05-16,09:19:07.430000
152,P1507,2019-05-17,08:35:16.393000
153,P1507,2019-05-18,09:31:41.807000
154,P1507,2019-05-19,08:30:28.688000
155,P1507,2019-05-20,06:52:03.388000
156,P1507,2019-05-21,12:37:43.494000
157,P1507,2019-05-22,09:52:40.622000
158,P1508,2019-05-16,11:23:30.086000
159,P1508,2019-05-17,06:17:09.600000
160,P1508,2019-05-18,08:52:25.346000
161,P1508,2019-05-19,06:00:09.142000
162,P1508,2019-05-20,07:02:45.952000
163,P1508,2019-05-21,07:03:49.370000
164,P1508,2019-05-22,09:00:05.738000
165,P1509,2019-05-16,10:05:48.041000
166,P1509,2019-05-17,12:20:27.503000
167,P1509,2019-05-18,12:36:14.864000
168,P1509,2019-05-19,11:31:28.400000
169,P1509,2019-05-20,10:36:51.469000
170,P1509,2019-05-21,10:01:06.236000
171,P1509,2019-05-22,10:20:49.760000
172,P1510,2019-05-16,17:51:46.208000
173,P1510,2019-05-17,12:50:41.063000
174,P1510,2019-05-18,11:49:42.184000
175,P1510,2019-05-19,12:09:41.665000
176,P1510,2019-05-20,12:37:55.612000
177,P1510,2019-05-21,09:35:52.594000
178,P1510,2019-05-22,10:16:34.485000
179,P1511,2019-05-16,10:19:13.049000
180,P1511,2019-05-17,08:50:24.115000
181,P1511,2019-05-18,07:08:20.093000
182,P1511,2019-05-19,11:29:44.898000
183,P1511,2019-05-20,10:22:48.786000
184,P1511,2019-05-21,10:26:11.162000
185,P1511,2019-05-22,10:23:55.364000
186,P1514,2019-05-16,09:18:25.380000
187,P1514,2019-05-17,12:11:03.928000
188,P1514,2019-05-18,10:18:59.888000
189,P1514,2019-05-19,10:59:25.028000
190,P1514,2019-05-20,09:19:39.766000
191,P1514,2019-05-21,08:45:03.888000
192,P1514,2019-05-22,09:58:00.221000
193,P1515,2019-05-16,10:28:43.943000
194,P1515,2019-05-17,06:00:13.977000
195,P1515,2019-05-18,08:42:33.365000
196,P1515,2019-05-19,13:10:00.438000
197,P1515,2019-05-20,11:54:09.880000
198,P1515,2019-05-21,12:54:13.504000
199,P1515,2019-05-22,06:35:59.052000
200,P1516,2019-05-16,12:31:58.627000
201,P1516,2019-05-17,11:02:34.687000
202,P1516,2019-05-18,11:05:24.350000
203,P1516,2019-05-19,11:45:51.888000
204,P1516,2019-05-20,09:53:26.699000
205,P1516,2019-05-21,10:02:08.068000
206,P1516,2019-05-22,09:47:09.317000
207,P1517,2019-05-16,09:00:04.960000
208,P1517,2019-05-17,12:40:20.555000
209,P1517,2019-05-18,11:07:38.693000
210,P1517,2019-05-19,07:21:58.844000
211,P1517,2019-05-20,09:12:24.972000
212,P1517,2019-05-21,06:29:58.359000
213,P1517,2019-05-22,09:34:08.886000
214,P1518,2019-05-16,11:56:58.574000
215,P1518,2019-05-17,09:41:58.574000
216,P1518,2019-05-18,11:20:51.573000
217,P1518,2019-05-19,08:50:56.373000
218,P1518,2019-05-20,09:04:13.804000
219,P1518,2019-05-21,10:18:39.646000
220,P1518,2019-05-22,11:38:03.696000
221,P3001,2019-04-30,09:00:27.524000
222,P3001,2019-05-01,10:18:41.120000
223,P3001,2019-05-02,11:13:41.877000
224,P3001,2019-05-03,08:50:47.503000
225,P3001,2019-05-04,07:29:06.139000
226,P3001,2019-05-05,09:45:52.483000
227,P3001,2019-05-06,09:07:04.602000
228,P3002,2019-04-30,23:35:40.986000
229,P3002,2019-05-01,08:58:55.239000
230,P3002,2019-05-02,09:50:22.436000
231,P3002,2019-05-04,07:56:24.478000
232,P3002,2019-05-03,10:51:04.786000
233,P3002,2019-05-05,11:14:41.661000
234,P3002,2019-05-06,08:28:54.272000
235,P3003,2019-04-30,14:15:39.119000
236,P3003,2019-05-01,10:13:45.645000
237,P3003,2019-05-02,07:19:00.817000
238,P3003,2019-05-03,06:00:05.338000
239,P3003,2019-05-04,13:32:54.885000
240,P3003,2019-05-05,08:29:05.407000
241,P3003,2019-05-06,06:02:36.431000
242,P3005,2019-04-30,11:20:58.329000
243,P3005,2019-05-01,06:45:33.549000
244,P3005,2019-05-02,11:46:40.154000
