,userID,date,wakeUpTime
0,P0701,2019-05-08,10:16:11.039000
1,P0701,2019-05-09,10:14:09.515000
2,P0701,2019-05-10,09:01:22.629000
3,P0701,2019-05-11,16:14:38.454000
4,P0701,2019-05-12,12:30:47.151000
5,P0701,2019-05-13,10:12:41.202000
6,P0701,2019-05-14,09:49:48.065000
7,P0701,2019-05-15,10:27:49.317000
8,P0701,2019-05-16,10:15:38.362000
9,P0701,2019-05-17,09:25:48.039000
10,P0701,2019-05-18,12:44:07.900000
11,P0701,2019-05-19,12:51:08.262000
12,P0701,2019-05-20,08:12:16.509000
13,P0701,2019-05-21,10:39:12.991000
14,P0701,2019-05-22,09:05:32.123000
15,P0701,2019-05-23,08:00:53.944000
16,P0701,2019-05-24,08:10:56.180000
17,P0701,2019-05-25,07:39:50.933000
18,P0701,2019-05-26,08:51:46.696000
19,P0701,2019-05-27,09:47:45.070000
20,P0701,2019-05-28,11:52:14.044000
21,P0701,2019-05-29,09:15:22.396000
22,P0701,2019-05-30,07:46:38.194000
23,P0701,2019-05-31,07:53:11.130000
24,P0701,2019-06-01,06:13:34.683000
25,P0701,2019-06-02,09:37:34.031000
26,P0701,2019-06-03,07:50:13.192000
27,P0701,2019-06-04,08:00:18.435000
28,P0701,2019-06-05,09:13:14.731000
29,P0701,2019-06-06,09:00:51.535000
30,P0701,2019-06-07,08:21:56.701000
31,P0701,2019-06-08,09:41:21.434000
32,P0701,2019-06-09,12:10:23.068000
33,P0701,2019-06-10,07:45:45.849000
34,P0701,2019-06-11,09:29:26.392000
35,P0701,2019-06-12,09:01:19.356000
36,P0701,2019-06-13,08:23:36.119000
37,P0701,2019-06-14,10:04:00.667000
38,P0701,2019-06-17,14:29:55.671000
39,P0701,2019-06-18,09:49:24.797000
40,P0701,2019-06-19,11:25:54.957000
41,P0701,2019-06-20,10:25:32.952000
42,P0701,2019-06-21,11:45:33.792000
43,P0701,2019-06-22,08:24:47.091000
44,P0701,2019-06-23,11:36:40.296000
45,P0701,2019-06-24,13:05:16.488000
46,P0701,2019-06-25,14:31:58.013000
47,P0701,2019-06-26,10:14:59.931000
48,P0701,2019-06-27,11:47:33.730000
49,P0701,2019-06-28,12:57:10.191000
50,P0701,2019-06-29,13:35:34.613000
51,P0701,2019-06-30,16:48:56.320000
52,P0701,2019-07-01,10:23:35.315000
53,P0701,2019-07-02,11:49:02.536000
54,P0701,2019-07-03,09:00:06.317000
55,P0701,2019-07-04,11:15:15.828000
56,P0701,2019-07-05,11:53:48.907000
57,P0701,2019-07-06,11:58:05.492000
58,P0701,2019-07-07,12:49:35.643000
59,P0701,2019-07-08,08:46:40.710000
60,P0701,2019-07-09,14:12:58.485000
61,P0701,2019-07-10,10:36:06.514000
62,P0701,2019-07-11,08:32:16.977000
63,P0701,2019-07-12,08:41:14.882000
64,P0701,2019-07-13,09:36:57.710000
65,P0701,2019-07-14,10:54:38.404000
66,P0701,2019-07-15,08:42:25.638000
67,P0701,2019-07-16,08:42:57.940000
68,P0701,2019-07-17,10:39:01.817000
69,P0701,2019-07-18,07:39:28.861000
70,P0701,2019-07-19,08:36:42.986000
71,P0701,2019-07-20,10:23:50.502000
72,P0701,2019-07-21,11:44:11.961000
73,P0701,2019-07-22,09:49:40.790000
74,P0701,2019-07-23,11:33:43.042000
75,P0701,2019-07-24,09:01:25.133000
76,P0701,2019-07-25,10:20:01.461000
77,P0701,2019-07-26,08:13:30.956000
78,P0701,2019-07-27,09:47:20.635000
79,P0701,2019-07-28,09:57:54.723000
80,P0701,2019-07-29,08:50:06.440000
81,P0701,2019-07-30,08:30:31.623000
82,P0701,2019-07-31,09:56:28.229000
83,P0701,2019-08-01,08:56:37.209000
84,P0701,2019-08-02,07:31:11.677000
85,P0701,2019-08-03,08:04:33.652000
86,P0701,2019-08-04,16:19:35.637000
87,P0701,2019-08-05,07:47:58.685000
88,P0701,2019-08-06,08:32:59.324000
89,P0701,2019-08-07,09:00:20.471000
90,P0701,2019-08-08,07:55:39.681000
91,P0701,2019-08-09,12:06:46.335000
92,P0701,2019-08-10,06:02:04.009000
93,P0701,2019-08-11,13:05:12.542000
94,P0701,2019-08-12,09:53:23.098000
95,P0701,2019-08-13,10:57:56.083000
96,P0701,2019-08-14,09:21:09.482000
97,P0701,2019-08-15,07:42:07.194000
98,P0701,2019-08-16,11:30:26.217000
99,P0701,2019-08-17,07:51:49.750000
100,P0701,2019-08-18,11:47:23.537000
101,P0701,2019-08-19,06:15:42.913000
102,P0701,2019-08-20,07:51:08.082000
103,P0701,2019-08-21,09:00:15.072000
104,P0701,2019-08-22,06:31:01.620000
105,P0701,2019-08-23,08:49:16.480000
106,P0701,2019-08-24,10:18:56.108000
107,P0701,2019-08-25,12:01:28.837000
108,P0701,2019-08-26,06:00:44.437000
109,P0701,2019-08-27,08:16:34.988000
